Palazzo Ginnasi;44.3545168;11.7151411;museum;
Ecomuseo dell'acqua;44.6391152;11.266365;museum;
Santa Cecilia;44.4959211;11.3500909;place_of_worship;it:5485669
Verginina;44.1007058;10.9407781;Generico;
Museo della Civiltà Contadina;44.6034155;11.4171702;museum;
Lucio Dalla;44.4939231;11.3450824;artwork;
Ella Fitzgerald;44.4940644;11.3440216;artwork;
Henghel Gualdi;44.4940682;11.3439962;artwork;
Marco Tamburini;44.4939561;11.3451794;artwork;
Croce di Monte Piella;44.1334498;10.9360677;Generico;it:3099174
Croce di Camaldoli;44.4667103;11.3706169;Generico;
Spazio Tilt!;44.5148474;11.3593936;museum;
Monumento ai morti per la patria;44.5658909;11.2716747;memorial;
Andrea Costa;44.2725719;11.603903;memorial;
Quercia;44.271108;11.6026458;memorial;
2° Guerra Mondiale;44.2718742;11.6074606;memorial;
Palazzo Baronale;44.2725004;11.6030401;museum;
Croce;44.2711146;11.603997;memorial;
Chiesa di Casola;44.164923;10.9967816;place_of_worship;
Ecomuseo della Collina e del Vino;44.4377506;11.0314775;museum;
Porta Bolognese;44.4382606;11.0321146;Generico;
San Giuseppe Cottolengo;44.5014517;11.3119972;place_of_worship;it:2048953
Statua del diavolo (Statue of devil);44.4890983;11.3403665;monument;
Convento Santi Donnino e Sebastiano;44.445759;11.2680983;place_of_worship;
Genus Bononiae;44.4921009;11.3464967;museum;
Museo della Comunicazione G. Pelagalli "Mille voci... mille suoni";44.5009492;11.3199301;museum;
Memoriale della Shoah;44.5068895;11.3458484;memorial;
Ai Martiri di Colle Ameno;44.4221318;11.2633482;memorial;
Monumento ai Partigiani di via Parisio;44.4775987;11.3771524;monument;
Parrocchia di San Benedetto;44.5017607;11.3441648;place_of_worship;
Capitello Madonna;44.5452829;11.3514099;Generico;
Balena della Val di Zena;44.3608167;11.3743385;monument;
Oratorio della Pioppa;44.4330043;11.6747157;place_of_worship;
Centro visite A.R.E. La Bora;44.628509;11.2043673;museum;
Chiesa Ortodossa "San Basilio il Grande";44.4940608;11.3321224;place_of_worship;
Ponte romano;44.1706038;11.0521266;monument;
Chiesa della Madonna del ponte;44.1488715;10.9844453;place_of_worship;
Cristo in croce;44.327178;11.5862257;Generico;
Chiesa di Dozza;44.3592403;11.628754;place_of_worship;it:29052
Palazzo albergati;44.490019;11.3347046;museum;
Capitello Sant'Antonio;44.5783734;11.3038037;Generico;
Edicola votiva a Sant'Antonio di Padova;44.6043032;11.3120313;Generico;
Mini capitello Madonna;44.3624619;11.4788573;Generico;
Faggio della Madonna;44.1260032;10.8995236;place_of_worship;
Casa Frabboni Museo della Città;44.7016164;11.4033915;museum;
Fontana;44.3856655;11.5891842;fountain;
Chiesa della Santissima Trinità;44.4875568;11.3524736;place_of_worship;
Beata Vergine di San Luca;44.6870127;11.4131861;Generico;
Monumento a Marco Pantani;44.3833763;11.733271;memorial;
Cristo Re;44.5076024;11.304324;place_of_worship;
Fontana;44.3583698;11.6178655;fountain;
Caduti di Marzabotto;44.3410592;11.2046836;memorial;
Museo d'Arte Sacra don Giovanni Paolo;44.3592731;11.6288381;museum;
Francesco Rizzoli;44.4810378;11.3410647;artwork;
Gruppo di combattimento Friuli;44.3914163;11.533504;memorial;
Monumento ai Caduti;44.5483432;11.3554661;monument;
incrocio Tasso;44.3726558;11.183669;ruins;
Museo Archeologico e Paleoambientale Elsa Silvestri;44.5378113;11.536757;museum;
Torre Nord-Ovest;44.5389189;11.5349927;attraction;
Francesco Lorusso;44.4992831;11.3502074;memorial;
Chiesa della Madonna del Buon Consiglio;44.5109838;11.4705687;place_of_worship;
Chiesa di Croce in campo;44.3482293;11.7163272;place_of_worship;
Porta Ferrarese;44.6478352;11.3759631;Generico;
Santuario della Madonna di San Luca;44.4790863;11.2981249;place_of_worship;it:268494
Santi Giovanni Battista e Mamante di Monte Calvo;44.4282068;11.3840238;place_of_worship;
Castello di Bentivoglio;44.634397;11.4221235;Generico;
Scavi Villa Clelia;44.3571009;11.6956435;Generico;
Ponte della Bionda;44.5388097;11.3459071;attraction;it:Ponte della Bionda
Porta Asia;44.7125272;11.3105814;Generico;
Porta Ferrara;44.7150836;11.3076381;Generico;
Porta Cento;44.714459;11.3045681;Generico;
Porta Bologna;44.7115781;11.3061441;Generico;
Porta Castiglione;44.4855376;11.3482655;Generico;it:3136681
Porta S. Vitale;44.4940084;11.3568287;Generico;it:3136662
Sala del Regno dei Testimoni di Geova;44.5349393;11.3541943;place_of_worship;
Santuario della Beata Vergine della Coraglia;44.3540664;11.7240065;place_of_worship;
Chiesa dei Santi Bartolomeo e Cassiano di Croce Coperta;44.3586415;11.699988;place_of_worship;
Chiesa di Santo Spirito;44.3502776;11.7216861;place_of_worship;
Chiesa di Maria Immacolata in Arcella;44.3540524;11.6973579;place_of_worship;
San Pier Grisologo;44.3612187;11.7106065;place_of_worship;
Santuario Beata Vergine della Coraglia;44.3543925;11.724019;place_of_worship;
Chiesa di San Francesco d'Assisi;44.3449427;11.6911397;place_of_worship;
Chiesa di San Giovanni Evangelista;44.3639748;11.6934103;place_of_worship;
Parrocchia dell'Assunzione di Maria Vergine di Pontesanto;44.3683847;11.6995782;place_of_worship;
Chiesa di Casaglia;44.3110219;11.2178768;place_of_worship;
Santi Michele e Cristoforo di Sassuno;44.3399571;11.459805;place_of_worship;
Sant' Andrea;44.1894954;11.4953609;place_of_worship;
San Miniato;44.2053535;11.503573;place_of_worship;
Chiesa di San Giovanni Battista;44.3639732;11.7246633;place_of_worship;
Parrocchiale San Giovanni Battista;44.3647699;11.725234;place_of_worship;
